Building Type,Measure,System Type,Run Type,Climate Zone,Average Temperature,Average Electric Energy
ECC,M5,cDXHP,Measure,CZ14,36.62611111111111,1443211376.496278
ECC,M5,cPTAC,Base,CZ14,36.62611111111111,1482982729.6634154
ECC,M5,cPTAC,Measure,CZ14,36.62611111111111,1476799825.0482218
ECC,M5,cPVVG,Base,CZ14,36.62611111111111,1463126654.990508
ECC,M5,cPVVG,Measure,CZ14,36.62611111111111,1457472728.6406698
Epr,M1,cDXGF,Base,CZ14,36.62611111111111,316644018.5394231
Epr,M1,cDXGF,Measure,CZ14,36.62611111111111,289284544.32741416
Epr,M1,cDXHP,Base,CZ14,36.62611111111111,319055048.03527415
Epr,M1,cDXHP,Measure,CZ14,36.62611111111111,291754406.09642583
Epr,M1,cPTAC,Base,CZ14,36.62611111111111,316644018.40861756
Epr,M1,cPTAC,Measure,CZ14,36.62611111111111,289284544.33050716
Epr,M1,cPVVG,Base,CZ14,36.62611111111111,284520059.90001684
Epr,M1,cPVVG,Measure,CZ14,36.62611111111111,268848424.49185383
Epr,M2,cDXGF,Base,CZ14,36.62611111111111,261545718.1853531
Epr,M2,cDXGF,Measure,CZ14,36.62611111111111,240821255.52583587
Epr,M2,cDXHP,Base,CZ14,36.62611111111111,260873041.52735868
Epr,M2,cDXHP,Measure,CZ14,36.62611111111111,240182780.03879133
Epr,M2,cPTAC,Base,CZ14,36.62611111111111,261545718.1853528
Epr,M2,cPTAC,Measure,CZ14,36.62611111111111,240822006.48666134
Epr,M2,cPVVG,Base,CZ14,36.62611111111111,216762340.47787938
Epr,M2,cPVVG,Measure,CZ14,36.62611111111111,207816402.4078353
Epr,M3,cDXGF,Base,CZ14,36.62611111111111,202530013.3427376
Epr,M3,cDXGF,Measure,CZ14,36.62611111111111,201738195.14449927
Epr,M3,cDXHP,Base,CZ14,36.62611111111111,200697340.4461389
Epr,M3,cDXHP,Measure,CZ14,36.62611111111111,199931350.9810487
Epr,M3,cPTAC,Base,CZ14,36.62611111111111,202530013.34276262
Epr,M3,cPTAC,Measure,CZ14,36.62611111111111,201738195.1445145
Epr,M3,cPVVG,Base,CZ14,36.62611111111111,199508272.49232706
Epr,M3,cPVVG,Measure,CZ14,36.62611111111111,198771904.6897264
Epr,M4,cDXGF,Base,CZ14,36.62611111111111,316643984.8570307
Epr,M4,cDXGF,Measure,CZ14,36.62611111111111,289285257.96800804
Epr,M4,cDXHP,Base,CZ14,36.62611111111111,319054712.0753533
Epr,M4,cDXHP,Measure,CZ14,36.62611111111111,291754872.8345715
Epr,M4,cPTAC,Base,CZ14,36.62611111111111,316644015.3280276
Epr,M4,cPTAC,Measure,CZ14,36.62611111111111,289284567.70739836
Epr,M4,cPVVG,Base,CZ14,36.62611111111111,284519886.76901454
Epr,M4,cPVVG,Measure,CZ14,36.62611111111111,268848426.2323195
Epr,M5,cDXGF,Base,CZ14,36.62611111111111,223073160.7911752
Epr,M5,cDXGF,Measure,CZ14,36.62611111111111,222096143.40597016
Epr,M5,cDXHP,Base,CZ14,36.62611111111111,215049949.18799096
Epr,M5,cDXHP,Measure,CZ14,36.62611111111111,214130690.08049926
Epr,M5,cPTAC,Base,CZ14,36.62611111111111,223073160.79391813
Epr,M5,cPTAC,Measure,CZ14,36.62611111111111,222096143.4059865
Epr,M5,cPVVG,Base,CZ14,36.62611111111111,219739173.3465387
Epr,M5,cPVVG,Measure,CZ14,36.62611111111111,218836796.78700116
ERC,M1,cDXGF,Base,CZ14,36.62611111111111,13676220.791399129
ERC,M1,cDXGF,Measure,CZ14,36.62611111111111,13082411.57683914
